ID,smiles,docking_score,flag,split
155545220,NS(=O)(=O)c1ccc(-n2nc(C(=O)N3CCSCC3)cc2-c2cccc(F)c2)cc1,-10.608,1,train
11793188,CS(=O)(=O)c1ccc(-n2cc(CF)nc2-c2ccc(Cl)cc2)cc1,-10.442,1,train
X098,CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cccnc2)cc1,-10.337,1,train
22034364,Cc1[nH]c2cc(S(C)(=O)=O)ccc2c1Sc1ccc(F)cc1,-10.251,1,train
44286327,CSc1csc(Sc2cc3c(cc2NS(C)(=O)=O)COC3=O)n1,-5.538,1,train
10765731,CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cccc(Br)c2)cc1,-10.656,1,train
213053,COc1ccc(-c2c(Cl)ncn2-c2ccc(S(N)(=O)=O)cc2)cc1F,-11.083,1,train
44456715,CS(=O)(=O)c1ccc(-c2nc(NCc3ccncc3)cc(C(F)(F)F)n2)cc1,-10.413,1,train
10765111,CNc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1Cl,-11.221,1,train
10664448,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)c(F)c3)CCC2)cc1,-11.012,1,train
9842937,Cc1cncc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)c1,-11.139,1,train
9818888,NS(=O)(=O)c1ccc(-c2c(-c3ccccc3)noc2CO)cc1,-10.327,1,train
CHEMBL46171,CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)cnc2OCc2ccc(Cl)cc2)cc1,-9.352,1,train
10172237,Cc1nc(-c2ccc(F)cc2)c(-c2ccc(S(C)(=O)=O)cc2)s1,-10.734,1,train
155563991,COc1ccc(/C=N/c2c(C#N)cnn2-c2ccc(S(N)(=O)=O)cc2)cc1OC,-9.878,1,train
9926877,CCOc1cc(OCC)cc(-c2ccc(C(C)C(=O)O)cc2)c1,-8.466,1,train
73054810,CCCCCCNC(=O)Oc1cccc(-c2ccc(CC(=O)O)cc2F)c1,-5.169,1,train
76327241,CS(=O)(=O)c1ccc(/C=C(\c2ccccc2)c2ccc(F)cc2)cc1,-8.747,1,train
10408494,COc1ccc(-c2c(-c3ccc(S(N)(=O)=O)cc3)oc3ccccc23)cc1F,-11.28,1,train
10810038,CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2ccccc2F)cc1,-10.547,1,train
3672,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-6.684,1,train
9861854,Cc1nc(C2CCCCC2)c(-c2ccc(S(C)(=O)=O)cc2)o1,-9.612,1,train
10385880,COc1ccc(-c2cc(F)c(F)cc2-c2ccc(S(N)(=O)=O)cc2)cc1F,-11.375,1,train
9800270,NS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(F)cc2)cc1,-11.581,1,train
4495,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1,-7.795,1,train
127040263,NS(=O)(=O)c1ccc(N2N=C(c3cccs3)C[C@H]2c2ccc(C(F)(F)F)cc2)cc1,-10.098,1,train
22911749,CC(C)(C)c1nc(-c2ccc(F)cc2)c(-c2ccc(S(C)(=O)=O)cc2)s1,-11.061,1,train
10643086,COc1ccc(C2=C(c3ccc(S(N)(=O)=O)cc3)CC3(CC3)C2)cc1F,-10.94,1,train
90654519,CN1C(=O)C(c2ccccc2)=C(c2ccc(S(N)(=O)=O)cc2)C1=O,-11.243,1,train
44293185,CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)cnc2OCC(F)(F)F)cc1,-10.228,1,train
44456740,CS(=O)(=O)c1ccc(-c2nc(NCc3cc(F)cc(F)c3)cc(C(F)(F)F)n2)cc1,-10.48,1,train
11823791,CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccccc2)cc1,-9.948,1,train
44395168,COc1ccc2c(-c3ccc(S(C)(=O)=O)cc3)c(-c3ccc(C)cc3)nn2n1,-10.456,1,train
